question_id,来源,题型,题干,选项,答案,解析,知识点ID,题型ID,常见错因ID,难度
Q_BAS_011,附件01-05改编,解答题,在△ABC中，A=30°，b=2√3，c=3。求边 a。,"",a² = 12+9−2·2√3·3·(√3/2) = 21−18 = 3 → a=√3。,a² = 12+9−2·2√3·3·(√3/2) = 21−18 = 3 → a=√3。,K_COSINE_RULE,T_SIDE_SOLVE,"",中
Q_BAS_012,附件01-05改编,解答题,在△ABC中，a=√3，c=1，B=30°。求边 b 与面积 S。,"",b² = 3+1−2·√3·1·(√3/2) = 1 → b=1；S=½·√3·1·(1/2)=√3/4。,b² = 3+1−2·√3·1·(√3/2) = 1 → b=1；S=½·√3·1·(1/2)=√3/4。,K_COSINE_RULE|K_TRIANGLE_AREA,T_SIDE_SOLVE,"",中
Q_BAS_013,附件01-05改编,解答题,在△ABC中，a:b:c = 3:5:7。求最大角。,"",cosC = (9+25−49)/(2·3·5) = −15/30 = −1/2 → C=120°。,cosC = (9+25−49)/(2·3·5) = −15/30 = −1/2 → C=120°。,K_COSINE_RULE,T_ANGLE_SOLVE,"",中
Q_BAS_014,附件01-05改编,解答题,在△ABC中，A=60°，面积 S=4√3，周长 12。求三边。,"",½bc·(√3/2)=4√3 → bc=16；a²=b²+c²−bc=(b+c)²−3bc=(12−a)²−48 → a=4，b+c=8 且 bc=16 → b=c=4。三边均为 4（等边）。,½bc·(√3/2)=4√3 → bc=16；a²=b²+c²−bc=(b+c)²−3bc=(12−a)²−48 → a=4，b+c=8 且 bc=16 → b=c=4。三边均为 4（等边）。,K_COSINE_RULE|K_TRIANGLE_AREA,T_AREA_COMPUTE,"",中
Q_BAS_015,附件01-05改编,解答题,在△ABC中，B=75°，C=45°，a=4。求边 b。,"",A=60°；b = a·sinB/sinA = 4·sin75°/sin60° = 4·((√6+√2)/4)/(√3/2) = 4√2。,A=60°；b = a·sinB/sinA = 4·sin75°/sin60° = 4·((√6+√2)/4)/(√3/2) = 4√2。,K_SINE_RULE,T_ANGLE_SOLVE,"",中
Q_BAS_016,附件01-05改编,解答题,在△ABC中，a=5，b=6，c=7。求面积 S。,"",s=9，S=√(9·4·3·2)=√216=6√6。,s=9，S=√(9·4·3·2)=√216=6√6。,K_TRIANGLE_AREA|K_COSINE_RULE,T_AREA_COMPUTE,"",中
Q_CIR_001,附件01-05改编,解答题,在△ABC中，a=2√3，A=60°。求外接圆半径 R。,"",R = a/(2sinA) = 2√3/(2·√3/2) = 2。,R = a/(2sinA) = 2√3/(2·√3/2) = 2。,K_CIRCUMCIRCLE|K_SINE_RULE,T_CIRCUMCIRCLE_SOLVE,"",中
Q_CIR_002,附件01-05改编,解答题,在△ABC中，b=6，B=90°。求外接圆半径 R。,"",B=90° → b 为直径 → R=3。,B=90° → b 为直径 → R=3。,K_CIRCUMCIRCLE|K_TRIANGLE_EXISTENCE,T_CIRCUMCIRCLE_SOLVE,"",中
Q_CIR_003,附件01-05改编,解答题,在△ABC中，c=2√2，C=45°。求外接圆半径 R。,"",R = c/(2sinC) = 2√2/(2·√2/2) = 2。,R = c/(2sinC) = 2√2/(2·√2/2) = 2。,K_CIRCUMCIRCLE|K_SINE_RULE,T_CIRCUMCIRCLE_SOLVE,"",中
Q_CIR_004,附件01-05改编,解答题,在△ABC中，A=30°，a=4。求外接圆面积。,"",R = 4/(2·½) = 4 → S=16π。,R = 4/(2·½) = 4 → S=16π。,K_CIRCUMCIRCLE|K_TRIANGLE_AREA,T_CIRCUMCIRCLE_SOLVE,"",中
Q_CIR_005,附件01-05改编,解答题,直角△ABC 三边为 3，4，5。求内切圆半径 r。,"",S=6，s=6 → r=S/s=1。,S=6，s=6 → r=S/s=1。,K_INCIRCLE|K_TRIANGLE_AREA,T_INCIRCLE_SOLVE,"",中
Q_CIR_006,附件01-05改编,解答题,边长为 6 的等边三角形，求内切圆半径 r。,"",S=9√3，s=9 → r=√3。,S=9√3，s=9 → r=√3。,K_INCIRCLE|K_TRIANGLE_AREA,T_INCIRCLE_SOLVE,"",中
Q_CIR_007,附件01-05改编,解答题,三角形面积为 12，内切圆半径 r=2。求周长。,"",r=S/s → s=6 → 周长 2s=12。,r=S/s → s=6 → 周长 2s=12。,K_INCIRCLE|K_TRIANGLE_AREA,T_INCIRCLE_SOLVE,"",中
Q_CIR_008,附件01-05改编,解答题,等边三角形中，内切圆半径 r 与外接圆半径 R 的比值是多少？,"",R=a/√3，r=a/(2√3) → r:R=1:2。,R=a/√3，r=a/(2√3) → r:R=1:2。,K_RADIUS_RELATION|K_INCIRCLE|K_CIRCUMCIRCLE,T_INCIRCLE_SOLVE,"",中
Q_CIR_009,附件01-05改编,解答题,在△ABC中，D 在 BC 上，∠BAD=30°，∠DAC=60°，AB=12，AD=8。求 AC。,"",S_ABC=S_ABD+S_ADC：½·12·AC·sin90° = ½·12·8·sin30° + ½·8·AC·sin60° → 6AC=24+2√3·AC → AC=6+2√3。,S_ABC=S_ABD+S_ADC：½·12·AC·sin90° = ½·12·8·sin30° + ½·8·AC·sin60° → 6AC=24+2√3·AC → AC=6+2√3。,K_MULTI_TRIANGLE|K_TRIANGLE_AREA,T_MULTI_TRIANGLE,"",中
Q_CIR_010,附件01-05改编,解答题,△ABC 与 △DBC 共边 BC。A=60°，AB=8，AC=5，D=90° 且 BD=DC。求 BC。,"",BC²=64+25−80·(1/2)=49 → BC=7；△DBC 为等腰直角 → BD=DC=7/√2。,BC²=64+25−80·(1/2)=49 → BC=7；△DBC 为等腰直角 → BD=DC=7/√2。,K_COMMON_EDGE|K_COSINE_RULE,T_COMMON_EDGE,"",中
Q_CIR_011,附件01-05改编,解答题,在△ABC中，A=60°，b=4，c=6。求面积与外接圆半径。,"",S=½·4·6·sin60°=6√3；a²=16+36−48·½=28 → a=2√7 → R=a/(2sin60°)=2√21/3。,S=½·4·6·sin60°=6√3；a²=16+36−48·½=28 → a=2√7 → R=a/(2sin60°)=2√21/3。,K_CIRCUMCIRCLE|K_TRIANGLE_AREA,T_CIRCUMCIRCLE_SOLVE,"",中
Q_CIR_012,附件01-05改编,解答题,直角三角形两直角边为 6，8。求内切圆半径 r。,"",斜边 10，S=24，s=12 → r=2。,斜边 10，S=24，s=12 → r=2。,K_INCIRCLE|K_TRIANGLE_AREA,T_INCIRCLE_SOLVE,"",中
Q_CIR_013,附件01-05改编,解答题,在△ABC中，AD 为 BC 边上的中线。比较 S_△ABD 与 S_△ADC。,"",BD=DC 且两三角形等高 → 面积相等。,BD=DC 且两三角形等高 → 面积相等。,K_MULTI_TRIANGLE|K_EQUAL_AREA,T_MULTI_TRIANGLE,"",中
Q_CIR_014,附件01-05改编,解答题,四边形 ABCD 中，∠ABC=∠ADC=90°，AB=3，BC=4。求 A、B、C、D 四点所在圆的面积。,"",∠ABC=∠ADC=90° → 四点共圆，AC 为直径；AC=5 → S=25π/4。,∠ABC=∠ADC=90° → 四点共圆，AC 为直径；AC=5 → S=25π/4。,K_HIDDEN_CIRCLE|K_CIRCUMCIRCLE,T_POWER_AND_CIRCLE,"",中
Q_CIR_015,附件01-05改编,解答题,圆内接四边形 ABCD 中，BD 为直径，BD=10，∠BCD=30°。求 BC。,"",BD 为直径 → ∠BCD 所对弧为半圆 → ∠BCD=30° → BC=BD·cos30°=5√3。,BD 为直径 → ∠BCD 所对弧为半圆 → ∠BCD=30° → BC=BD·cos30°=5√3。,K_COMMON_EDGE|K_CIRCUMCIRCLE,T_COMMON_EDGE,"",中
Q_CIR_016,附件01-05改编,解答题,三角形三边为 13，14，15。求内切圆半径 r。,"",S=84，s=21 → r=4。,S=84，s=21 → r=4。,K_INCIRCLE|K_TRIANGLE_AREA,T_INCIRCLE_SOLVE,"",中
Q_EXT_001,附件01-05改编,解答题,在△ABC中，sinA:sinB:sinC = 3:4:5。求最大角。,"",a:b:c=3:4:5 → 5²=3²+4² → 直角，最大角 90°。,a:b:c=3:4:5 → 5²=3²+4² → 直角，最大角 90°。,K_ANGLE_TO_SIDE|K_SINE_RULE,T_ANGLE_SOLVE,"",中
Q_EXT_002,附件01-05改编,解答题,在△ABC中，a²=b²+c²−√3·bc。求角 A。,"",cosA=(b²+c²−a²)/(2bc)=√3/2 → A=30°。,cosA=(b²+c²−a²)/(2bc)=√3/2 → A=30°。,K_SIDE_TO_ANGLE|K_COSINE_RULE,T_ANGLE_SOLVE,"",中
Q_EXT_003,附件01-05改编,解答题,在△ABC中，a+b=8，C=60°。求边 c 的最小值。,"",c²=a²+b²−ab=(a+b)²−3ab ≥ 64−3·16=16 → c≥4，a=b=4 时取等 → c_min=4。,c²=a²+b²−ab=(a+b)²−3ab ≥ 64−3·16=16 → c≥4，a=b=4 时取等 → c_min=4。,K_INEQUALITY|K_COSINE_RULE,T_INEQUALITY_APPLY,"",中
Q_EXT_004,附件01-05改编,解答题,在△ABC中，a+b=10，C=60°。求面积 S 的最大值。,"",S=½ab·sin60°=√3ab/4 ≤ √3/4·25 = 25√3/4，a=b=5 取等。,S=½ab·sin60°=√3ab/4 ≤ √3/4·25 = 25√3/4，a=b=5 取等。,K_INEQUALITY|K_TRIANGLE_AREA,T_INEQUALITY_APPLY,"",中
Q_EXT_005,附件01-05改编,解答题,在△ABC中，a=2，A=60°。求周长 p 的取值范围。,"","b+c=(4/√3)(sinB+sinC)=4cos((B−C)/2) ∈ (2,4] → p ∈ (4,6]。","b+c=(4/√3)(sinB+sinC)=4cos((B−C)/2) ∈ (2,4] → p ∈ (4,6]。",K_TRIG_RANGE|K_SINE_RULE,T_TRIG_FUNC_RANGE,"",中
Q_EXT_006,附件01-05改编,解答题,在△ABC中，c=2，C=60°。求 a+b 的取值范围。,"","a+b=(2/sin60°)(sinA+sinB)=4cos((A−B)/2) ∈ (2,4]。","a+b=(2/sin60°)(sinA+sinB)=4cos((A−B)/2) ∈ (2,4]。",K_EDGE_RANGE|K_SINE_RULE,T_TRIG_FUNC_RANGE,"",中
Q_EXT_007,附件01-05改编,解答题,在△ABC中，A=60°。求 2sinB+2sinC 的最大值。,"",B+C=120° → sinB+sinC=√3·cos((B−C)/2) ≤ √3 → 最大值 2√3（B=C=60°）。,B+C=120° → sinB+sinC=√3·cos((B−C)/2) ≤ √3 → 最大值 2√3（B=C=60°）。,K_TRIG_RANGE|K_SINE_RULE,T_TRIG_FUNC_RANGE,"",中
Q_EXT_008,附件01-05改编,解答题,在△ABC中，a²+b²−ab=c²。求 (a+b)/c 的最大值。,"",令 t=a/b：((a+b)/c)²=(t²+2t+1)/(t²−t+1) ≤ 4（t=1 时取等）→ 最大值 2（等边）。,令 t=a/b：((a+b)/c)²=(t²+2t+1)/(t²−t+1) ≤ 4（t=1 时取等）→ 最大值 2（等边）。,K_EDGE_RANGE|K_COSINE_RULE,T_INEQUALITY_APPLY,"",中
Q_EXT_009,附件01-05改编,解答题,在△ABC中，a+b+c=6，C=60°。求面积 S 的最大值。,"",S=√3ab/4；c²=a²+b²−ab ≥ (a+b)²/4 → c≥2，a=b=2 时取等 → S_max=√3。,S=√3ab/4；c²=a²+b²−ab ≥ (a+b)²/4 → c≥2，a=b=2 时取等 → S_max=√3。,K_INEQUALITY|K_COSINE_RULE,T_MAX_MIN,"",中
Q_EXT_010,附件01-05改编,解答题,在△ABC中，b=2，B=60°。求 a+c 的取值范围。,"","a+c=(2/sin60°)(sinA+sinC)=4cos((A−C)/2) ∈ (2,4]。","a+c=(2/sin60°)(sinA+sinC)=4cos((A−C)/2) ∈ (2,4]。",K_EDGE_RANGE|K_SINE_RULE,T_TRIG_FUNC_RANGE,"",中
Q_EXT_011,附件01-05改编,解答题,在△ABC中，a·cosC + c·cosA = 3。求边 b。,"",a·cosC+c·cosA = b（投影定理）→ b=3。,a·cosC+c·cosA = b（投影定理）→ b=3。,K_SIDE_TO_ANGLE|K_COSINE_RULE,T_ANGLE_SOLVE,"",中
Q_EXT_012,附件01-05改编,解答题,在△ABC中，a+b=8，C=120°。求边 c 的取值范围。,"","c²=(a+b)²−ab=64−ab ∈ (0,48] → 4√3 ≤ c < 8（a=b=4 时 c=4√3，ab→0 时 c→8）。","c²=(a+b)²−ab=64−ab ∈ (0,48] → 4√3 ≤ c < 8（a=b=4 时 c=4√3，ab→0 时 c→8）。",K_EDGE_RANGE|K_COSINE_RULE,T_MAX_MIN,"",中
Q_EXT_013,附件01-05改编,解答题,在△ABC中，A=30°。求角 B 的取值范围使三角形存在。,"","C=150°−B>0 且 B>0 → B ∈ (0°,150°)。","C=150°−B>0 且 B>0 → B ∈ (0°,150°)。",K_TRIANGLE_EXISTENCE|K_TRIG_RANGE,T_ANGLE_SOLVE,"",中
Q_EXT_014,附件01-05改编,解答题,在△ABC中，a=2，A=60°。求面积 S 的最大值。,"",b+c ≤ 4（Q_EXT_010 同构），S=½bc·sin60° ≤ ½·4·(√3/2)=√3，b=c=2 取等。,b+c ≤ 4（Q_EXT_010 同构），S=½bc·sin60° ≤ ½·4·(√3/2)=√3，b=c=2 取等。,K_TRIANGLE_AREA|K_INEQUALITY,T_MAX_MIN,"",中
Q_EXT_015,附件01-05改编,解答题,在△ABC中，sin²A+sin²B=sin²C。求角 C。,"",边化角：a²+b²=c² → C=90°。,边化角：a²+b²=c² → C=90°。,K_SIDE_TO_ANGLE|K_SINE_RULE,T_SHAPE_JUDGE,"",中
Q_EXT_016,附件01-05改编,解答题,在△ABC中，B+C=120°。求 sinB+sinC 的最大值。,"",sinB+sinC=2sin60°·cos((B−C)/2)=√3·cos((B−C)/2) ≤ √3，B=C=60° 取等。,sinB+sinC=2sin60°·cos((B−C)/2)=√3·cos((B−C)/2) ≤ √3，B=C=60° 取等。,K_TRIG_RANGE|K_SINE_RULE,T_TRIG_FUNC_RANGE,"",中
Q_SEG_001,附件01-05改编,解答题,在△ABC中，a=2，b=3，c=4。求 BC 边上的中线长 m_a。,"",m_a = ½√(2b²+2c²−a²) = ½√(18+32−4) = ½√46。,m_a = ½√(2b²+2c²−a²) = ½√(18+32−4) = ½√46。,K_MEDIAN|K_COSINE_RULE,T_MEDIAN_SOLVE,"",中
Q_SEG_002,附件01-05改编,解答题,在△ABC中，AB=4，AC=6，A=60°。求 BC 边上的中线长。,"",BC²=16+36−48·(1/2)=28；m_a²=(2·36+2·16−28)/4=19 → m_a=√19。,BC²=16+36−48·(1/2)=28；m_a²=(2·36+2·16−28)/4=19 → m_a=√19。,K_MEDIAN|K_COSINE_RULE,T_MEDIAN_SOLVE,"",中
Q_SEG_003,附件01-05改编,解答题,在△ABC中，三条中线交于重心 G。若 AG=8，求中线 AD 的长。,"",重心分中线 AG:GD=2:1 → AD = AG·3/2 = 12。,重心分中线 AG:GD=2:1 → AD = AG·3/2 = 12。,K_MEDIAN|K_EQUAL_AREA,T_MEDIAN_SOLVE,"",中
Q_SEG_004,附件01-05改编,解答题,在△ABC中，AD 平分∠A 交 BC 于 D。AB=3，AC=6，BD=2。求 DC。,"",BD/DC = AB/AC = 3/6 = 1/2 → DC = 4。,BD/DC = AB/AC = 3/6 = 1/2 → DC = 4。,K_ANGLE_BISECTOR,T_BISECTOR_SOLVE,"",中
Q_SEG_005,附件01-05改编,解答题,在△ABC中，A=60°，AB=6，AC=8。AD 平分∠A 交 BC 于 D。求 AD。,"",AD = 2bc·cos(A/2)/(b+c) = 2·6·8·(√3/2)/14 = 24√3/7。,AD = 2bc·cos(A/2)/(b+c) = 2·6·8·(√3/2)/14 = 24√3/7。,K_ANGLE_BISECTOR|K_COSINE_RULE,T_BISECTOR_SOLVE,"",中
Q_SEG_006,附件01-05改编,解答题,在△ABC中，A=120°，AB=4，AC=6，AD 平分∠A 交 BC 于 D。求 S_△ABD。,"",S=½·4·6·sin120°=6√3；BD/DC=4/6=2/3 → S_△ABD = 6√3·2/5 = 12√3/5。,S=½·4·6·sin120°=6√3；BD/DC=4/6=2/3 → S_△ABD = 6√3·2/5 = 12√3/5。,K_ANGLE_BISECTOR|K_TRIANGLE_AREA,T_BISECTOR_SOLVE,"",中
Q_SEG_007,附件01-05改编,解答题,在△ABC中，AB=5，AC=7，BC=8。求 BC 边上的高 h_a。,"",cosA=(49+64−25)/(2·7·8)=11/14 → sinA=5√3/14 → S=½·7·5·5√3/14=25√3/4 → h_a=2S/8=25√3/16。,cosA=(49+64−25)/(2·7·8)=11/14 → sinA=5√3/14 → S=½·7·5·5√3/14=25√3/4 → h_a=2S/8=25√3/16。,K_ALTITUDE|K_TRIANGLE_AREA,T_ALTITUDE_SOLVE,"",中
Q_SEG_008,附件01-05改编,解答题,在△ABC中，BC=10，B=45°，C=30°。AD 为 BC 边上的高。求 AD。,"",设 h=AD，h/tanB 与 h/tanC 分别为 BD、DC → h(1+√3)=10 → h=10/(1+√3)=5(√3−1)。,设 h=AD，h/tanB 与 h/tanC 分别为 BD、DC → h(1+√3)=10 → h=10/(1+√3)=5(√3−1)。,K_ALTITUDE,T_ALTITUDE_SOLVE,"",中
Q_SEG_009,附件01-05改编,解答题,在△ABC中，A=90°，AD⊥BC 于 D，BD=2，DC=6。求高 AD。,"",tanB=h/2，tanC=h/6，B+C=90° → tanB·tanC=1 → h²/12=1 → h=2√3。,tanB=h/2，tanC=h/6，B+C=90° → tanB·tanC=1 → h²/12=1 → h=2√3。,K_ZHANG_ANGLE|K_ALTITUDE,T_ALTITUDE_SOLVE,"",中
Q_SEG_010,附件01-05改编,解答题,在△ABC中，三边为 13，14，15。求最短边上的高。,"",s=21，S=√(21·8·7·6)=84 → 最短边 13 → h=2S/13=168/13。,s=21，S=√(21·8·7·6)=84 → 最短边 13 → h=2S/13=168/13。,K_EQUAL_AREA|K_TRIANGLE_AREA,T_EQUAL_AREA,"",中
Q_SEG_011,附件01-05改编,解答题,边长为 4 的等边三角形，用等面积法求高。,"",S=½·4·4·sin60°=4√3 → h=2S/4=2√3。,S=½·4·4·sin60°=4√3 → h=2S/4=2√3。,K_EQUAL_AREA|K_TRIANGLE_AREA,T_EQUAL_AREA,"",中
Q_SEG_012,附件01-05改编,解答题,在△ABC中，b=6，c=4，BC 边上的中线 m_a=5。求 a。,"",25=(2·36+2·16−a²)/4 → 100=104−a² → a²=4 → a=2。,25=(2·36+2·16−a²)/4 → 100=104−a² → a²=4 → a=2。,K_MEDIAN,T_MEDIAN_SOLVE,"",中
Q_SEG_013,附件01-05改编,解答题,在△ABC中，D 在 BC 上，AB=4，AC=6，BD=2，DC=3。判断 AD 是否为角平分线。,"",BD/DC=2/3，AB/AC=4/6=2/3，比值相等 → AD 是∠A 的平分线。,BD/DC=2/3，AB/AC=4/6=2/3，比值相等 → AD 是∠A 的平分线。,K_ANGLE_BISECTOR,T_BISECTOR_SOLVE,"",中
Q_SEG_014,附件01-05改编,解答题,在△ABC中，A=45°，b=4√2，面积 S=8。求边 c。,"",½·4√2·c·(√2/2)=8 → 2c=8 → c=4。,½·4√2·c·(√2/2)=8 → 2c=8 → c=4。,K_ALTITUDE|K_TRIANGLE_AREA,T_ALTITUDE_SOLVE,"",中
Q_SEG_015,附件01-05改编,解答题,在△ABC中，b=4，c=6，BC 边上的中线 m_a=√13。求 a。,"",13=(2·16+2·36−a²)/4 → 52=104−a² → a²=52 → a=2√13。,13=(2·16+2·36−a²)/4 → 52=104−a² → a²=52 → a=2√13。,K_MEDIAN|K_COSINE_RULE,T_MEDIAN_SOLVE,"",中
Q_SEG_016,附件01-05改编,解答题,在△ABC中，b=8，c=5，BC 边上的中线 m_a=√21。求 a。,"",21=(2·64+2·25−a²)/4 → 84=178−a² → a²=94 → a=√94。,21=(2·64+2·25−a²)/4 → 84=178−a² → a²=94 → a=√94。,K_MEDIAN|K_COSINE_RULE,T_MEDIAN_SOLVE,"",中
Q_THE_001,附件01-05改编,解答题,在△ABC中，A=45°，B=60°。求角 C。,"",tanC = −tan(A+B) = −(1+√3)/(1−√3) = 2+√3 → C=75°。,tanC = −tan(A+B) = −(1+√3)/(1−√3) = 2+√3 → C=75°。,K_TANGENT_IDENTITY,T_TANGENT_IDENTITY,"",中
Q_THE_002,附件01-05改编,解答题,在△ABC中，tanA=2，tanB=3。求角 C。,"",tanC = −(tanA+tanB)/(1−tanA·tanB) = −5/(1−6) = 1 → C=45°。,tanC = −(tanA+tanB)/(1−tanA·tanB) = −5/(1−6) = 1 → C=45°。,K_TANGENT_IDENTITY,T_TANGENT_IDENTITY,"",中
Q_THE_003,附件01-05改编,解答题,在△ABC中，A=60°，B=45°。求 sin²A−sin²B 的值。,"",sin²A−sin²B = sin(A+B)·sin(A−B) = sin105°·sin15° = ((√6+√2)/4)·((√6−√2)/4) = 1/4。,sin²A−sin²B = sin(A+B)·sin(A−B) = sin105°·sin15° = ((√6+√2)/4)·((√6−√2)/4) = 1/4。,K_SINE_SQUARE_DIFF|K_SINE_RULE,T_ANGLE_SOLVE,"",中
Q_THE_004,附件01-05改编,解答题,在△ABC中，sin²A−sin²B=sin²C。判断三角形形状。,"",sin(A+B)·sin(A−B)=sin²C → sinC·sin(A−B)=sin²C → sin(A−B)=sinC → A−B=C 或 A−B=180°−C；前者 A=90°（直角），后者 A=90°+... 由 B+C<180° 排除 → A=90°。,sin(A+B)·sin(A−B)=sin²C → sinC·sin(A−B)=sin²C → sin(A−B)=sinC → A−B=C 或 A−B=180°−C；前者 A=90°（直角），后者 A=90°+... 由 B+C<180° 排除 → A=90°。,K_SINE_SQUARE_DIFF|K_SINE_RULE,T_SHAPE_JUDGE,"",中
Q_THE_005,附件01-05改编,解答题,圆内两弦 AB、CD 交于 P，PA=3，PB=6，PC=2。求 PD。,"",相交弦定理：PA·PB=PC·PD → PD = 3·6/2 = 9。,相交弦定理：PA·PB=PC·PD → PD = 3·6/2 = 9。,K_POWER_OF_POINT,T_POWER_AND_CIRCLE,"",中
Q_THE_006,附件01-05改编,解答题,从圆外一点 P 引切线 PT 与割线 PAB，PA=4，PB=9。求切线长 PT。,"",切割线定理：PT²=PA·PB=36 → PT=6。,切割线定理：PT²=PA·PB=36 → PT=6。,K_POWER_OF_POINT,T_POWER_AND_CIRCLE,"",中
Q_THE_007,附件01-05改编,解答题,定点 A、B 满足 AB=8，动点 P 满足 ∠APB=90°。求点 P 轨迹圆的面积。,"",∠APB=90° → P 在以 AB 为直径的圆上 → 半径 4 → S=16π。,∠APB=90° → P 在以 AB 为直径的圆上 → 半径 4 → S=16π。,K_HIDDEN_CIRCLE,T_POWER_AND_CIRCLE,"",中
Q_THE_008,附件01-05改编,解答题,定点 A、B 满足 AB=2√3，动点 P 满足 ∠APB=60°。求 P 所在圆弧所在圆的半径。,"",P 在以 AB 为弦、圆周角 60° 的圆弧上 → 2R·sin60°=AB → R=2√3/√3=2。,P 在以 AB 为弦、圆周角 60° 的圆弧上 → 2R·sin60°=AB → R=2√3/√3=2。,K_HIDDEN_CIRCLE|K_CIRCUMCIRCLE,T_POWER_AND_CIRCLE,"",中
Q_THE_009,附件01-05改编,解答题,"定点 A(0,0)、B(6,0)，动点 P 满足 PA:PB=2:1。求 P 轨迹圆的半径。","",(x²+y²)=4((x−6)²+y²) → x²+y²−16x+48=0 → (x−8)²+y²=16 → 半径 4。,(x²+y²)=4((x−6)²+y²) → x²+y²−16x+48=0 → (x−8)²+y²=16 → 半径 4。,K_APOLLONIUS,T_POWER_AND_CIRCLE,"",中
Q_THE_010,附件01-05改编,解答题,三角形三边为 13，14，15，其内切圆与 AB（c=15 对边）切于点 D。求从顶点 A 到切点 D 的切线长。,"",切线长 = s−a = 21−13 = 8。,切线长 = s−a = 21−13 = 8。,K_POWER_OF_POINT|K_INCIRCLE,T_POWER_AND_CIRCLE,"",中
