error_id,错因大类,错因名称,表现形式,判断依据,补救建议
E-CAL-002,计算错误,余弦定理展开计算错误,应用余弦定理时，平方展开错误或符号处理错误,余弦定理涉及平方和、乘积等运算，计算量大易出错,计算时分步书写，不要跳步，注意各项符号，最后检验结果合理性
E-CAL-003,计算错误,面积计算时单位或系数错误,计算三角形面积时漏掉1/2系数，或单位换算错误,面积公式中的1/2是最常见的计算遗漏点,养成计算后检查的习惯，特别是检查系数和单位
E-CAL-004,计算错误,中线定理公式中系数2的位置错误,中线定理AB²+AC²=2(AD²+BD²)中，漏掉2或2的位置放错,中线定理的系数2容易遗漏或放错位置,自己用向量法推导一遍中线定理，理解系数2的来源
E-CAL-005,计算错误,等面积法建立方程错误,用等面积法时，等式两边的面积表达式写错或漏掉系数,等面积法涉及多个面积公式的组合，容易出错,分别写出各部分面积的表达式，再建立等式，不要急于合并
E-CAL-006,计算错误,内切圆半径计算时周长与半周长混淆,用S=rp计算时，p误用为周长而不是半周长,半周长概念容易与周长混淆,记住p是半周长（semi-perimeter），计算时先除以2
E-CAL-007,计算错误,基本不等式等号条件不验证,用基本不等式求最值时，不验证等号成立条件是否满足三角形约束,学生往往只关注不等式应用，忽略验证等号成立条件是否在三角形范围内,应用基本不等式后一定要验证等号成立条件，检查此时三角形是否存在
E-CAL-008,计算错误,三角恒等变换化简错误,边化角后的三角恒等变换过程中，公式应用错误导致化简出错,三角恒等变换公式多、变形复杂，是计算错误的高发区,熟练掌握两角和差、二倍角、辅助角公式，化简过程分步进行
E-LOG-001,逻辑推理错误,忽略三角形内角和为180°的隐含条件,解三角形时不利用内角和化简，导致计算复杂或错误,内角和为180°是三角形最基本的性质，但学生解题时常忽略这个隐含条件,解题时看到三个角就想到用内角和减少变量个数，这是解三角形的核心思想之一
E-LOG-002,逻辑推理错误,"忽略三角形内角取值范围（0°,180°）",求出sinA=1/2就直接写A=30°或150°，不结合边的大小关系判断取舍,"三角形内角范围是(0°,180°)，但正弦在这个区间不单调，导致多解需要取舍",每求出一个角，立刻根据大边对大角判断角的范围，养成检验习惯
E-LOG-003,逻辑推理错误,形状判断时考虑不周全,由a² +b²>c²就判断为锐角三角形，忽略需要三个角都是锐角,学生容易只看一个角就下结论，忽略锐角三角形需要三个角都是锐角,判断锐角三角形必须验证最大角为锐角，或三个角的余弦值都为正
E-LOG-004,逻辑推理错误,正切恒等式应用时忽略直角情况,应用tanA+tanB+tanC=tanAtanBtanC时，不检查三角形是否含直角,正切恒等式成立的前提是三角形不含直角（正切有意义），学生常忽略这个条件,应用正切恒等式前，先确认三角形不是直角三角形（或角不等于90°）
E-LOG-005,逻辑推理错误,基本不等式应用条件不满足,在不能保证各项为正的情况下应用基本不等式，或忽略定值条件,基本不等式有'一正二定三相等'三个条件，学生常只关注形式而忽略条件,应用基本不等式前，逐一验证'一正二定三相等'三个条件
E-LOG-006,逻辑推理错误,三角函数求值域时忽略角的范围,边化角后求三角函数值域时，忽略三角形中角的取值范围限制,学生求出单角函数后，直接用全体实数范围求值域，忽略三角形约束,边化角后，第一步先确定角的取值范围，再在此范围内求值域
E-MOD-001,建模错误,边角互化方向选择不当,该角化边时选择了边化角，或反之，导致解题复杂化甚至做不出来,边角互化是解三角形的核心技巧，方向选择直接影响解题难度,总结经验：齐次式优先边化角；求角的大小考虑角化边；有面积公式时灵活选择
E-MOD-002,建模错误,多选题中逻辑推理不严谨,做多选题时，对选项的判断凭感觉而不是严谨推导，导致漏选或错选,多选题需要对每个选项都进行严谨判断，学生容易凭经验或感觉做题,做多选题时，每个选项都要写出判断依据，不要凭感觉选
E-MOD-003,建模错误,实际应用问题建模错误,实际应用题中画错示意图，或已知量未知量对应错误,实际应用问题需要将文字描述转化为几何图形，建模错误会导致整题错误,仔细读题，画出示意图，标注已知量和未知量，确认无误后再计算
E-MOD-004,建模错误,高线问题中忽略两种情况,涉及高的问题时，只考虑高在三角形内部的情况，忽略钝角三角形高在外部的情况,锐角三角形三条高都在内部，钝角三角形有两条高在外部，学生容易忽略,涉及高的问题，先判断三角形类型，注意高可能在三角形外部
E-MOD-005,建模错误,多三角形问题中找不到公共条件,面对多个三角形组成的图形，不知道从哪里入手，找不到各三角形间的联系,多三角形问题的关键是找到公共边、公共角或补角关系，学生缺乏这种转化意识,多三角形问题先找公共边和公共角，从信息最多的三角形入手
E-MOD-006,建模错误,最值与范围问题方法选择不当,该用基本不等式时用了三角函数，该用三角函数时用了基本不等式，导致过程繁琐或做不出,最值和范围问题有两种主要方法，选择不当会大大增加解题难度,记住经验：最值问题优先考虑基本不等式，范围问题优先考虑三角函数
E-MOD-007,建模错误,圆内接四边形性质应用不当,不知道利用圆内接四边形对角互补的性质，或错误应用托勒密定理,圆内接四边形的性质是连接三角形和圆的桥梁，学生不善于应用,看到圆内接四边形，立刻想到对角互补、外角等于内对角等性质
E-MOD-008,建模错误,四心问题中判断错误,题目涉及三角形的'心'时，判断不出是哪个心，或用错了心的性质,四心（重心、垂心、外心、内心）定义和性质各不相同，学生容易混淆,整理四心对比表，从定义出发判断：看到中线→重心，看到高→垂心，看到中垂线→外心，看到角平分线→内心
E-MOD-009,建模错误,四心位置判断错误,认为所有三角形的四心都在内部，不知道钝角三角形的外心和垂心在外部,学生平时接触的多是锐角三角形，容易形成所有心都在内部的思维定势,分别画出锐角、直角、钝角三角形的四心位置，对比记忆
E-STR-001,策略错误,实际应用问题审题不清,应用题中看错方位角、方向角，或误解题意导致建模错误,实际应用问题文字多、概念多（方位角、方向角、仰角、俯角），学生容易审题不清,读题时圈出关键词，画出示意图并标注，确认理解正确后再解题
E-STR-002,策略错误,中线问题方法选择不当,有已知角被拆分时不用向量法而用其他方法，导致计算复杂,中线问题有多种解法（向量法、双余弦法、两次余弦法），选择不当会增加计算量,记住经验：有已知角且被拆分优先用向量法；有已知角未被拆分用两次余弦法；无已知角用双余弦法
E-STR-003,策略错误,角平分线问题不知道用面积法,角平分线问题只想到用角平分线定理，想不到等面积法更简便,角平分线问题有多种处理方法，学生往往只知道定理而想不到面积法,角平分线问题优先考虑面积法（S△ABC=S△ABD+S△ACD），再考虑角平分线定理
E-STR-004,策略错误,多三角形问题从错误的三角形入手,多三角形问题中，从信息不足的三角形开始解，导致卡住,多三角形问题的解题顺序很重要，应该从信息最多的三角形入手,先分析每个三角形的已知条件，从已知条件最多的三角形开始解
E-STR-005,策略错误,范围问题硬用基本不等式,明明是范围问题却硬用基本不等式，导致只能求出一边的范围,基本不等式通常只能求出一个最值，不适合求完整范围,范围问题优先选择边化角用三角函数性质求解，不要硬套基本不等式
E-STR-006,策略错误,射影定理应用意识薄弱,明明可以用射影定理快速解决的问题，却用正余弦定理绕大弯,射影定理是很实用的小结论，但学生往往不知道或想不到用,遇到边=边×cos角+边×cos角的形式，立刻想到射影定理
E-STR-007,策略错误,斯图尔特定理误用或滥用,不分情况都用斯图尔特定理，或记错公式导致错误,斯图尔特定理是拓展内容，公式复杂，不建议死记硬背,斯图尔特定理作为了解内容，一般题用常规方法（双余弦法、面积法等）即可
E-STR-008,策略错误,复杂问题不会拆分转化,面对复杂图形（如多个三角形、四边形组合），不知道将其拆分为基本三角形,解三角形难题的核心策略是转化与化归，学生缺乏这种意识,复杂图形先拆分，找公共边、公共角，将复杂问题转化为多个解三角形基本问题
E-STR-009,策略错误,塞瓦定理与梅涅劳斯定理混淆,混淆塞瓦定理（三线共点）和梅涅劳斯定理（三点共线）的适用条件,两个定理形式相似，容易记混适用场景,从字面上区分：塞瓦用于线共点（'塞'谐音'线'），梅涅劳斯用于点共线
E-CON-005,概念理解错误,圆内接四边形对角互补性质记错,将圆内接四边形对角互补记成对角相等，或外角等于内对角记成外角等于邻角,圆内接四边形的核心性质是对角互补，学生常与平行四边形对角相等混淆,结合图形理解圆内接四边形的性质，通过圆周角定理推导对角互补，多做基础判断题
E-CON-006,概念理解错误,重心分中线比例记错,将重心分中线的比2:1记成1:2，或认为重心是中线的中点,重心是三条中线的交点，分每条中线为2:1（顶点到重心:重心到中点），学生常记反,"通过物理实验（均匀三角形薄板的重心）理解重心位置，记忆口诀""顶点到重心占2份"""
E-CON-007,概念理解错误,外心位置判断错误,认为所有三角形的外心都在三角形内部，忽略钝角三角形外心在外部、直角三角形外心在斜边中点,外心是外接圆圆心，其位置随三角形形状变化：锐角三角形在内部，直角三角形在斜边中点，钝角三角形在外部,整理三种三角形外心位置的对比表，通过画图直观理解外心位置与三角形形状的关系
E-CON-008,概念理解错误,垂心性质∠BHC=180°-A记错,将垂心性质∠BHC=180°-A记成∠BHC=A或∠BHC=90°+A,垂心是三条高线的交点，∠BHC=180°-A是垂心的重要性质，学生常与其他角的关系混淆,通过高线图形推导∠BHC=180°-A（四边形AEHD中对角互补），理解记忆而非死记
E-CON-009,概念理解错误,布洛卡点定义和性质不了解,不知道布洛卡点的定义，无法识别题目中的布洛卡点条件,布洛卡点是三角形内一个特殊点，满足∠PAB=∠PBC=∠PCA=ω，属于竞赛拓展内容,了解布洛卡点的定义和基本性质（cotω=cotA+cotB+cotC），掌握典型题型的处理方法
E-FOM-008,公式运用错误,辅助角公式中相位φ计算错误,辅助角公式asinθ+bcosθ=√(a²+b²)sin(θ+φ)中，φ的正切值tanφ=b/a记成a/b，或忽略φ所在象限,辅助角公式是三角函数化简的核心公式，相位φ的确定需要同时考虑sinφ和cosφ的符号,"推导辅助角公式：令sinφ=b/√(a²+b²)，cosφ=a/√(a²+b²)，根据a,b符号确定φ象限"
E-FOM-009,公式运用错误,托勒密定理公式记错,将托勒密定理AC·BD=AB·CD+AD·BC记成AC·BD=AB·BC+AD·CD，或乘积项配对错误,托勒密定理是圆内接四边形的重要定理，对角线乘积等于对边乘积之和，学生常将边配对错误,"通过相似三角形证明托勒密定理，理解""对边乘积""的含义，记忆口诀""对角线积=对边积和"""
E-FOM-010,公式运用错误,重心向量公式记错,将重心向量公式GA+GB+GC=0记成GA+GB+GC=1，或OG=(OA+OB+OC)/3记成OG=(OA+OB+OC)/2,重心的向量表示是向量法解三角形的重要工具，学生常将系数1/3记成1/2,利用重心分中线2:1的性质推导向量公式OG=(OA+OB+OC)/3，结合坐标法验证
E-FOM-011,公式运用错误,内心到三边距离性质应用错误,知道内心到三边距离相等，但在面积法S=1/2(a+b+c)r中忘记乘以1/2，或将r当成外接圆半径,内心是内切圆圆心，到三边距离等于内切圆半径r，面积公式S=1/2(a+b+c)r是内心问题的核心公式,通过将三角形分割为三个小三角形（以内切圆圆心为顶点）推导面积公式，理解r的几何意义
E-CAL-009,计算错误,和差角公式展开时交叉项符号错误,sin(A±B)=sinAcosB±cosAsinB中，将减号情况的交叉项符号写错，如sin(A-B)=sinAcosB+cosAsinB,和差角公式是三角恒等变换的基础，减号公式中sin的交叉项为减、cos的交叉项为加，学生常记混,"记忆口诀""正弦交叉同号，余弦交叉异号""，通过特殊角验证（如sin(90°-30°)=sin60°）"
E-CAL-010,计算错误,辅助角公式中振幅计算错误,"辅助角公式中振幅√(a²+b²)计算错误，如a=3,b=4时算成5以外的值，或忘记开平方",辅助角公式的振幅由勾股定理√(a²+b²)确定，学生常在平方或开平方时出错,"将辅助角公式与勾股定理联系记忆，计算后用特殊值验证（如a=1,b=1时振幅为√2）"
E-CAL-011,计算错误,向量法中数量积公式应用错误,向量数量积a·b=|a||b|cosθ中，将cosθ记成sinθ，或坐标法中a·b=x1x2+y1y2算成x1y1+x2y2,向量数量积是向量法解几何图形的核心运算，学生常将定义法和坐标法混淆,对比记忆数量积的两种计算方法：定义法（模长×夹角余弦）和坐标法（对应坐标乘积和）
E-CAL-012,计算错误,"基本不等式应用时忽略""一正二定三相等""","应用基本不等式a+b≥2√ab时，忽略a,b为正数的条件，或不验证等号成立条件，或乘积不是定值","基本不等式是求最值的核心工具，""一正二定三相等""三个条件缺一不可，学生常忽略验证",养成应用基本不等式前三步检查的习惯：①确认正数②确认乘积/和为定值③验证等号可取
E-CAL-013,计算错误,三角函数周期/最值/单调性分析错误,分析三角函数f(x)=Asin(ωx+φ)的周期时算成2π/ω以外的值，或求最值时忽略ω的正负对单调性的影响,三角函数的图象性质是综合题的高频考点，周期T=2π/|ω|，单调性需考虑ω的符号,牢记周期公式T=2π/|ω|，分析单调性时先将ω化为正数（利用sin(-x)=-sinx），再求单调区间
E-LOG-007,逻辑推理错误,拆角时符号错误,利用A+B+C=π拆角时，将C=π-A-B代入sinC得sin(π-A-B)=-sin(A+B)，符号错误,拆角凑角是解三角形的核心技巧，sin(π-x)=sinx而非-sinx，学生常与cos(π-x)=-cosx混淆,"记忆诱导公式口诀""奇变偶不变，符号看象限""，拆角后先用特殊值验证符号是否正确"
E-LOG-008,逻辑推理错误,倍角关系转化时忽略系数2,由A=2B得sinA=sin2B，但忘记sin2B=2sinBcosB中的系数2，直接写成sinA=sinBcosB,倍角关系是解三角形的常见题型，二倍角公式sin2B=2sinBcosB中的系数2是易错点,推导二倍角公式（由和角公式令A=B），理解系数2的来源，养成写公式时先写系数的习惯
E-LOG-009,逻辑推理错误,求三角函数最值时忽略角的取值范围,求sin(ωx+φ)的最值时，直接认为最大值为1、最小值为-1，忽略角的实际取值范围可能不包含最值点,三角函数求最值必须考虑角的范围，这是解三角形综合题最常见的失分点之一,养成求三角函数最值前先确定角的范围的习惯，在范围内分析函数的单调性和端点值
E-LOG-010,逻辑推理错误,锐角三角形条件下忽略钝角情况,题目限定锐角三角形，但求解时只考虑了一个角为锐角，忽略另外两个角也必须为锐角的条件,锐角三角形要求三个角均为锐角（<90°），学生常只验证最大角或已知角，忽略其他角,解题时列出三个角均<90°的不等式组，求出角的交集范围，再在该范围内求目标量的值域
E-LOG-011,逻辑推理错误,等式证明时方向选择不当,证明边角等式时，从复杂的一边向简单的一边化简，但越化越复杂，最终无法得出结论,等式证明需要选择合适的方向，一般从复杂边向简单边化简，但若方向不当会陷入循环,证明前先分析两边结构，选择含更多项/更复杂的一边作为起点，若化简受阻可尝试从另一边入手
E-MOD-010,建模错误,倍角关系中不知道构造等腰三角形,遇到图形中的二倍角关系（如∠B=2∠C），只知道用正弦定理转化，不知道通过延长边构造等腰三角形简化,图形中的二倍角关系可以通过构造等腰三角形（延长CB到D使BD=AB，则∠D=∠BAD=∠ABC/2）转化为等角关系,总结二倍角关系的两种处理方法：①正弦定理倍角公式转化②构造等腰三角形几何转化，根据题目条件选择
E-MOD-011,建模错误,等分线问题中比例关系搞反,三等分点或定比分点问题中，将BD:DC=1:2对应的向量关系BD=(1/3)BC写成BD=(2/3)BC,等分线问题的核心是比例关系与向量/面积的对应，学生常将比例的分子分母搞反,"画图标注比例关系，明确""谁比谁""，用向量定比分点公式AD=(1-λ)AB+λAC验证比例"
E-MOD-012,建模错误,两次余弦定理法中找不到共享边/角,几何图形中存在两个三角形，但找不到它们之间的共享边或角，无法建立联立方程,两次余弦定理法的关键是找到两个三角形的公共边或公共角（含补角关系），学生常因图形复杂而忽略,解题时先在图中标注已知边和角，寻找两个三角形的公共元素（边/角/补角），公共元素是联立方程的桥梁
E-MOD-013,建模错误,坐标系法中坐标原点和坐标轴选择不当,建立坐标系时，原点选择在非特殊点，坐标轴不与已知边平行，导致各点坐标复杂难以计算,坐标系法的关键是选择合适的原点和坐标轴，一般将原点放在已知顶点、坐标轴与已知边重合,总结坐标系建立的原则：①原点选在已知顶点②x轴与最长已知边重合③利用对称性简化坐标
E-MOD-014,建模错误,面积最值问题中方法选择不当,求三角形面积最值时，条件适合用三角函数法却硬用基本不等式，或反之，导致计算复杂或无法求解,面积最值有两种主要方法：①基本不等式法（条件为边的对称形式）②三角函数法（条件为角的关系），选择不当会增加难度,总结面积最值的方法选择策略：条件含边的乘积/和→基本不等式；条件含角→三角函数法；两者皆可时选更简洁的
E-MOD-015,建模错误,向量条件转化为边角关系时出错,将向量条件（如AB·AC=0）转化为边角关系时，错误地认为AB·AC=0意味着AB=0或AC=0，而非AB⊥AC,向量条件转化是解三角形与向量综合题的关键，学生常对向量运算的几何意义理解不深,整理常见向量条件的几何意义：数量积为0→垂直；数量积为正→锐角；模长相等→边相等；平行→比例关系
E-STR-010,策略错误,图形中二倍角不会构造辅助线,遇到图形中的二倍角关系，只尝试代数方法（正弦定理），想不到构造等腰三角形等几何辅助线,图形中的二倍角关系有代数和几何两种处理方法，几何构造法往往更简洁，学生常缺乏构造意识,积累二倍角关系的典型辅助线作法：①延长短边构造等腰三角形②作角平分线③利用外接圆
E-STR-011,策略错误,几何图形中不会构造辅助线,面对复杂几何图形，不知道从何处入手作辅助线，或尝试的辅助线无法建立已知与未知的联系,辅助线构造是几何图形类问题的核心能力，需要根据题目条件和目标选择合适的辅助线,总结常见辅助线类型：①连接两点（构造三角形）②作平行线（构造相似）③作垂线（构造直角）④延长线段（构造等腰）
E-STR-012,策略错误,线性表达式范围不会用正弦定理转化,求2b-c等线性表达式的范围时，直接用基本不等式或几何方法，想不到用正弦定理将边转化为角,线性表达式范围问题的核心方法是正弦定理边角转化（a=2RsinA），将边的线性组合化为三角函数,总结线性表达式范围的标准解法：①正弦定理将边化为角②化为Asin(ωx+φ)形式③确定角范围④求值域
E-STR-013,策略错误,不等式证明不会选择合适的方法,证明三角形不等式时，只尝试一种方法（如基本不等式），失败后不会切换到函数法或几何法,三角形不等式证明有多种方法（基本不等式法、函数法、几何法、三角换元法），需要根据不等式结构选择,总结不等式证明的方法选择策略：对称式→基本不等式；含三角函数→函数法；几何意义明显→几何法
E-STR-014,策略错误,结构不良试题中条件选择不当,结构不良试题中，选择的条件组合无法构成有效三角形，或导致题目无解/多解难以处理,结构不良试题考查条件选择能力，需要先验证条件组合的有效性（能否构成三角形、是否有唯一解），再选择,解题时先列出所有条件组合，逐一验证有效性（三角形存在条件、解的唯一性），选择最简洁的组合求解
