knowledge_id,一级模块,二级模块,三级模块,知识点名称,难度,前置知识点,掌握标准,补弱建议
K_TRI_021,解三角形,进阶题型,等分线,其它等分线与比例线段（三等分线、定比分点）,4,K_TRI_018|K_TRI_019,掌握三等分线、定比分点等比例线段的处理方法,梳理其它等分线与比例线段（三等分线、定比分点）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_022,解三角形,进阶题型,外接圆,三角形外接圆与外心（半径计算、面积关系）,3,K_TRI_002|K_TRI_003,理解外心的定义和性质，能计算外接圆半径并应用面积关系,复习三角形外接圆与外心（半径计算、面积关系）的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_023,解三角形,进阶题型,内切圆,三角形内切圆与内心（半径计算、面积关系）,3,K_TRI_008|K_TRI_022,理解内心的定义和性质，能计算内切圆半径并应用面积关系,复习三角形内切圆与内心（半径计算、面积关系）的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_024,解三角形,进阶题型,多三角形,多三角形问题（公共边、公共角）,4,K_TRI_003|K_TRI_004,能在多三角形图形中利用公共边、公共角进行转化求解,梳理多三角形问题（公共边、公共角）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_025,解三角形,进阶题型,多三角形,平面四边形分割计算,4,K_TRI_024|K_TRI_003,能将平面四边形分割为三角形，综合运用正余弦定理解题,梳理平面四边形分割计算的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_026,解三角形,进阶题型,几何图形类,两次余弦定理法解几何图形,4,K_TRI_024|K_TRI_003,能准确写出余弦定理及其变形公式，能在已知三边或两边夹角时解三角形,梳理两次余弦定理法解几何图形的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_027,解三角形,进阶题型,几何图形类,构造辅助线与相似三角形,4,K_TRI_024|K_TRI_026,能构造合适的辅助线，运用相似三角形解决问题,梳理构造辅助线与相似三角形的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_028,解三角形,进阶题型,几何图形类,平面向量法解几何图形,4,K_TRI_024|K_TRI_018,能运用平面向量方法解决解三角形几何问题,梳理平面向量法解几何图形的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_029,解三角形,进阶题型,几何图形类,建立坐标系法（解析几何思路）,4,K_TRI_024|K_TRI_028,掌握建立坐标系的解析几何思路，能转化为坐标运算求解,梳理建立坐标系法（解析几何思路）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_030,解三角形,进阶题型,几何图形类,圆内接四边形与四点共圆问题,5,K_TRI_025|K_TRI_022,理解圆内接四边形性质，能运用四点共圆解决问题,梳理圆内接四边形与四点共圆问题与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_031,解三角形,进阶题型,四心问题,重心问题（重心性质与向量表示）,4,K_TRI_018|K_TRI_022,掌握重心的性质与向量表示，能解决重心相关问题,梳理重心问题（重心性质与向量表示）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_032,解三角形,进阶题型,四心问题,外心问题（外心与外接圆、中垂线交点）,4,K_TRI_022|K_TRI_018,深入理解外心与外接圆、中垂线交点的关系，能解决复杂外心问题,梳理外心问题（外心与外接圆、中垂线交点）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_033,解三角形,进阶题型,四心问题,垂心问题（垂心性质与高线交点）,5,K_TRI_020|K_TRI_032,掌握垂心的性质与高线交点的关系，能解决垂心相关问题,梳理垂心问题（垂心性质与高线交点）与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_034,解三角形,进阶题型,四心问题,内心问题（内心与内切圆、角平分线交点）,4,K_TRI_023|K_TRI_019,深入理解内心与内切圆、角平分线交点的关系，能解决复杂内心问题,梳理内心问题（内心与内切圆、角平分线交点）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_035,解三角形,综合应用,最值范围,与角或三角函数有关的最值与范围,5,K_TRI_014|K_TRI_013,能处理与角或三角函数有关的最值与范围问题,梳理与角或三角函数有关的最值与范围与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_036,解三角形,综合应用,最值范围,与边长或周长有关的最值与范围（基本不等式/函数法）,5,K_TRI_009|K_TRI_035,能运用基本不等式或函数法求解边长与周长的最值范围,梳理与边长或周长有关的最值与范围（基本不等式/函数法）与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_037,解三角形,综合应用,最值范围,与三角形面积有关的最值与范围,5,K_TRI_008|K_TRI_035,能处理与三角形面积有关的最值与范围问题,梳理与三角形面积有关的最值与范围与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_038,解三角形,综合应用,最值范围,锐角三角形中面积/周长范围问题,5,K_TRI_035|K_TRI_037,掌握锐角三角形中面积/周长范围问题的特殊处理方法,梳理锐角三角形中面积/周长范围问题与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_039,解三角形,综合应用,最值范围,线性表达式范围（如2b-c的取值范围）,5,K_TRI_035|K_TRI_002,能求解线性表达式（如2b-c）的取值范围,梳理线性表达式范围（如2b-c的取值范围）与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_040,解三角形,综合应用,特殊定理,射影定理（第一余弦定理）,4,K_TRI_003|K_TRI_004,能准确写出余弦定理及其变形公式，能在已知三边或两边夹角时解三角形,梳理射影定理（第一余弦定理）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_041,解三角形,综合应用,特殊定理,角平分线长度公式与斯图尔特定理,5,K_TRI_018|K_TRI_019,了解斯图尔特定理，能运用角平分线长度公式解题,梳理角平分线长度公式与斯图尔特定理与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_042,解三角形,综合应用,特殊模型,托勒密定理与圆内接四边形,5,K_TRI_030|K_TRI_003,了解托勒密定理，能在圆内接四边形问题中应用,梳理托勒密定理与圆内接四边形与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_043,解三角形,综合应用,特殊模型,塞瓦定理与梅涅劳斯定理,5,K_TRI_019|K_TRI_021,了解塞瓦定理与梅涅劳斯定理的内容和适用场景,梳理塞瓦定理与梅涅劳斯定理与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_044,解三角形,综合应用,证明类问题,边角关系等式证明,4,K_TRI_004|K_TRI_013,能进行边角关系等式的证明,梳理边角关系等式证明的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_045,解三角形,综合应用,证明类问题,三角形不等式证明（外森比克不等式等）,5,K_TRI_036|K_TRI_044,了解三角形不等式（如外森比克不等式）的证明方法,梳理三角形不等式证明（外森比克不等式等）与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_046,解三角形,综合应用,证明类问题,布洛卡点与特殊点问题,5,K_TRI_033|K_TRI_034,了解布洛卡点等特殊点的性质和相关问题,梳理布洛卡点与特殊点问题与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_047,解三角形,综合应用,综合交汇,解三角形与平面向量结合问题,4,K_TRI_028|K_TRI_004,能解决解三角形与平面向量结合的综合问题,梳理解三角形与平面向量结合问题的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_048,解三角形,综合应用,综合交汇,正余弦定理与三角函数图像性质结合,5,K_TRI_014|K_TRI_035,能准确写出余弦定理及其变形公式，能在已知三边或两边夹角时解三角形,梳理正余弦定理与三角函数图像性质结合与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
K_TRI_049,解三角形,综合应用,综合交汇,结构不良与条件开放性试题,5,K_TRI_004|K_TRI_035,能应对结构不良与条件开放性试题，选择合适条件解题,梳理结构不良与条件开放性试题与其他知识点的联系，做高考真题和压轴题，提升综合分析能力
