question_id,来源,题型,题干,选项,答案,解析,知识点ID,题型ID,常见错因ID,难度
Q_TRI_311,长沙长郡中学2024 高一月考,选择题,已知△ABC中，A=π/3，AB=2，若满足上述条件的三角形有两个，则BC的范围是（ ）,"A.(√3,2)|B.(√3,2]|C.(2,+∞)|D.(√3,+∞)",A,"记BC=a。点C是以B为圆心、a为半径的圆与射线AC的交点，点B到直线AC的距离为AB·sinA=2sin(π/3)=√3。当a=√3时圆与直线相切，仅一个交点；当√3<a<2时有两个有效交点，三角形有两个；当a=2时一个交点退化为点A，只构成一个有效三角形；a>2时亦仅一解。故BC∈(√3,2)（端点2取不到）。故选：A。",K_TRI_004,T_TRI_004,E-CON-002|E-LOG-002,1
Q_TRI_312,湖南师大附中2025 高一月考,选择题,将Rt△ABC 的每条边都增加相同的长度，得到△A′B′C′， 则△A′B′C′ 的形状为（ ）,A.直角三角形|B.锐角三角形|C.钝角三角形|D.无法判断,B,由题意不妨设C = π/2 ，则可得a² + b² = c²， 设每条边增加m(m > 0)，则新的三角形的三边分别为a + m，b + m，c + m， 因为c > a，c > b，所以c + m > a + m，c + m > b + m，即c + m 为新的三角形的最大边， 所以新的三角形的最大角的余弦值为cosC′ = (a+m)2+(b+m)2-(c+m)2 2(a+m)(b+m) ， 其中分子= a² + 2am + m²+ b² + 2bm + m²- c² - 2cm - m²= (a² + b² - c²) + 2m(a + b - c) + m² 而a² + b² = c²，a + b > c，m > 0，所以分子大于0，而分母为边长的乘积，显然大于0， 所以cosC′ > 0，则C′ 为锐角，则新的三角形为锐角三角形. 故选：B. √2 [长沙雅礼中学2025 高一期末] 在△ABC 中，若bcosC,K_TRI_005,T_TRI_005,E-LOG-003,1
Q_TRI_313,长沙雅礼中学2025 高一期末,选择题,在△ABC 中，若bcosC ccosB = 1+cos2C 1+cos2B ，则△ABC 的形状是（ ）,A.等腰三角形|B.直角三角形|C.等腰直角三角形|D.等腰三角形或直角三角形,D,"由已知1+cos2C 1+cos2B = 2cos2C 2cos2B = cos2C cos2B = bcosC ccosB ， ∴cosC cosB = b c 或cosC cosB = 0，则C = 90° 或cosC cosB = b c ， 由正弦定理，可得cosC cosB = sinB sinC ，即sinCcosC = sinBcosB，即sin2C = sin2B， ∵B,C 均为△ABC 的内角，∴2C = 2B 或2C + 2B = 180°，∴B = C 或B + C = 90°， ∴△ABC 为等腰三角形或直角三角形， 故选：D. √3 [湖南永州一中2023 高一月考] 在△ABC 中，若lgsinA - lgcosB - lgsinC = lg2，",K_TRI_005,T_TRI_005,E-LOG-003,1
Q_TRI_314,湖南永州一中2023 高一月考,选择题,在△ABC 中，若lgsinA - lgcosB - lgsinC = lg2， 则该三角形的形状是（ ）,A.等腰三角形|B.等边三角形|C.直角三角形|D.等腰直角三角形,A,∵lgsinA - lgcosB - lgsinC = lg2，∴ sinA cosB⋅sinC = 2， 由正弦定理可得 a cosB⋅c = 2，∴cosB = a 2c ， 又由余弦定理可得cosB = a² +c² -b² 2ac ，∴a² +c² -b² 2ac = a 2c ， 整理得c² = b²，则c = b，∴△ABC 的形状是等腰三角形， 故选：A.,K_TRI_005,T_TRI_005,E-LOG-003,1
Q_TRI_315,2019·全国II 卷·高考真题,填空题,"在△ABC 中，内角A,B,C 的对边分别为a,b,c. 若b = 6，a = 2c，B = π/3 ，则△ABC 的面积为 .",,6 3,"由余弦定理得b² = a² + c² - 2accosB， 所以(2c)2+ c² - 2 × 2c × c × 1 2 = 62，即c² = 12， 解得c = 2 3,c =-2 3(舍去)，所以a = 2c = 4 3 ， S△ABC = 1 2 acsinB = 1 2 × 4 3 × 2 3 × 3 2 = 6 3. 2 [长沙实验中学2024 高一月考]△ABC 的内角A，B，C 的对边是a，b，c，",K_TRI_006,T_TRI_006,E-CAL-003|E-FOM-002|E-FOM-007,3
Q_TRI_316,长沙实验中学2024 高一月考,选择题,△ABC 的内角A，B，C 的对边是a，b，c， 若△ABC 的面积为a² +b² -c² 4 ，则C 的大小（ ）,A.π/4|B.π/3|C.3π/4|D.π/6,A,"由余弦定理得：a² + b² - c² = 2abcosC， 所以△ABC 的面积S△ABC = 1 2 absinC = a² +b² -c² 4 = 1 2 abcosC， ∴sinC = cosC，又∵C ∈0,π ∴C = π/4 . 故选：A. √3 [湖南邵阳二中2024 高一月考] 我国南宋著名数学家秦九韶提出了由三角形三边求三角形",K_TRI_006,T_TRI_006,E-CAL-003|E-FOM-002|E-FOM-007,1
Q_TRI_317,湖南邵阳二中2024 高一月考,选择题,"我国南宋数学家秦九韶提出了由三角形三边求面积的“三斜求积”公式：设△ABC内角A,B,C所对边分别为a,b,c，面积为S，S=√{(1/4)[a²c²-((a²+c²-b²)/2)²]}。若a²sinC=2sinA，(a+c)²=b²+6，则用“三斜求积”公式求得△ABC的面积为（ ）",A.√3/2|B.√3|C.√2/2|D.1/2,A,由a²sinC=2sinA及正弦定理sinC/sinA=c/a，得a²·(c/a)=2，即ac=2。由(a+c)²=b²+6得a²+2ac+c²-b²=6，故a²+c²-b²=6-2ac=2。代入三斜求积公式：16S²=4a²c²-(a²+c²-b²)²=4(ac)²-2²=16-4=12，S²=3/4，S=√3/2。故选：A。,K_TRI_006,T_TRI_006,E-CAL-003|E-FOM-002|E-FOM-007,2
Q_TRI_318,长沙望城一中2025 高一期末,多选题,在△ABC 中，角A，B，C 的对边分别是a，b，c， 下列说法正确的是（ ）,A.若A > B，则cosA < cosB|B.若A = 30°，b = 5，a = 2，则△ABC 有两解|C.若a - c ⋅cosB = a ⋅cosC，则△ABC 为等腰三角形或直角三角形|D.若cosAcosBcosC > 0，则△ABC 为钝角三角形,AC,"因为函数y = cosx 在0,π 上单调递减， 在△ABC 中，因为A,B ∈0,π ，且A > B，所以cosA < cosB，故A 正确； 由正弦定理 a sinA = b sinB ，可得sinB = bsinA a = 5 4 > 1， 所以不存在这样的角B，即△ABC 无解，故B 错误； 由正弦定理可得sinA - sinC ⋅cosB = sinA ⋅cosC， 又因为sinA = sin π- B+C = sin B+C = sinBcosC + cosBsinC， 所以可得sinBcosC = sinAcosC，即sinB-sinA cosC = 0，即sinB = sinA 或cosC = 0， 则A = B 或A + B = π(舍)，或C = π/2 ，所以△ABC 为等腰三角形或直角三角形，故C 正确； 若cosAcosBcosC > 0，且A,B,C ∈0,π ，可知cosA > 0,cosB > 0,cosC > 0， 即A,B,C 都是锐角，所以△ABC 是锐角三角形，故D 错误. 故选：AC 2 [长沙麓山国际实验学校2026 高三月考] 在△ABC 中，角A，B，C 的对边分别为a，b，c，",K_TRI_007,T_TRI_007,E-LOG-004|E-MOD-002,1
Q_TRI_319,长沙麓山国际实验学校2026 高三月考,选择题,在△ABC 中，角A，B，C 的对边分别为a，b，c， 对于△ABC 有如下命题，其中正确的是（ ）,A.若a² + b²> c²，则△ABC 是锐角三角形|B.若A = π/3 ，a = 3 ，则△ABC 的外接圆的面积等于π|C.若△ABC 是锐角三角形，则sinA > cosB|D.若acosA = bcosB，则△ABC 是等腰直角三角形,C,"对于A，a²+b²>c²只能说明C为锐角，A、B是否为锐角未知，不能判定为锐角三角形，故A错误；对于B，由正弦定理2R=a/sinA=3/sin(π/3)=2√3，得R=√3，外接圆面积πR²=3π≠π，故B错误；对于C，锐角三角形中A+B>π/2，即A>π/2-B，两边均在(0,π/2)内，由正弦递增得sinA>sin(π/2-B)=cosB，故C正确；对于D，由a cosA=b cosB得sin2A=sin2B，于是A=B或A+B=π/2，为等腰三角形或直角三角形，并非“等腰直角三角形”，故D错误。综上，选C。",K_TRI_007,T_TRI_007,E-LOG-004|E-MOD-002,3
Q_TRI_320,长沙雅礼中学2021 高一月考,多选题,在△ABC 中，角A，B，C 所对的边分别为a，b，c， 下列说法正确的是（ ）,A.a:b:c = sinA:sinB:sinC|B.若sin2A = sin2B，则A = B|C.若sinA > sinB，则A > B；若A > B，则sinA > sinB|D.a sinA = b+c sinB+sinC,ACD,对于A，由正弦定理 a sinA = b sinB = c sinC = 2R， 可得，a:b:c = 2RsinA:2RsinB:2RsinC = sinA:sinB:sinC，故A 正确. 对于B，由sin2A = sin2B 及两角为三角形内角，可得A = B，或2A + 2B = π， 即A = B 或A + B = π/2 ，故B 错误； 对于C，在△ABC 中，由正弦定理可得，sinA > sinB ⇔a > b ⇔A > B， 因此A > B 是sinA > sinB 的充要条件，故C 正确； 对于D，由正弦定理 a sinA = b sinB = c sinC = 2R， 可得右边= b+c sinB+sinC = 2RsinB+2RsinC sinB+sinC = 2R = 左边，故D 正确. 故选：ACD 4 [湖南师大附属中学2021 高一期中] 在△ABC 中，内角A，B、C 所对的边分别为a、b、c，,K_TRI_007,T_TRI_007,E-LOG-004|E-MOD-002,1
Q_TRI_321,湖南师大附属中学2021 高一期中,多选题,在△ABC 中，内角A，B、C 所对的边分别为a、b、c， △ABC 的面积为S，下列与△ABC 有关的结论，正确的是（ ）,A.若sinA > cosB，则△ABC 为锐角三角形|B.若A > B，则sinA > sinB|C.若acosA = bcosB，则△ABC 一定是等腰三角形|D.若△ABC 为非直角三角形，则tanA + tanB + tanC = tanAtanBtanC,BD,对于A，由sinA>cosB=sin(π/2-B)并不能保证△ABC为锐角三角形：取A=110°、B=40°、C=30°，有sin110°>cos40°，但A为钝角，故A错误；对于B，由A>B得a>b，由正弦定理知sinA>sinB，故B正确；对于C，由a cosA=b cosB及正弦定理得sin2A=sin2B，于是2A=2B（等腰）或2A+2B=π（C为直角），不一定是等腰三角形，故C错误；对于D，由A+B+C=π有tan(A+B)=-tanC，展开整理得tanA+tanB+tanC=tanA tanB tanC，故D正确。综上，选BD。,K_TRI_007,T_TRI_007,E-LOG-004|E-MOD-002,2
Q_TRI_322,01解三角形的入门题型.txt,解答题,泉城广场上矗立着的“泉标”，成为泉城济南的标志和象征．为了测量“泉标”高度，某同学 在“泉标”的正西方向的点A 处测得“泉标”顶端的仰角为45°，沿点A 向北偏东30° 前进100m 到达 点B，在点B 处测得“泉标”顶端的仰角为30°，则“泉标”的高度为( ) A. √50 m B. √100 m C. √120 m D. √150 m,,(1)a = 10 3 ，b = 15；(2) 能够拦截成功拦截，时间为2 小时,"(1) 由题意，直线y = 3 3 x 的倾斜角为30°， 若巡逻船以30 海里/ 小时的速度向正东方向追击，设1 小时后两船相遇于点C， 如图所示，则AC ∥x 轴，AC = 30，且△ABC 关于y 轴对称， 所以AB = BC = a,∠ABC = 120°，所以a = 15 cos30° = 10 3,b = 10 3cos30° = 15. (2) 若巡逻船以5 21 海里/ 小时进行追击，设t 小时后两船相遇于点D，如图所示， 则∠ABD = 120°，BD = 15t cos30° = 10 3t，AD = 5 21t，AB = 10 3 ， 因为AD²= AB²+ BD²- 2AB ⋅BDcos∠ABD 可得(5 21t)2= (10 3)2+ (10 3t)2- 2 × 10 3 × 10 3t × - 1 2 整理得3t²- 4t - 4 = 0，解得t = 2 或t =- 2 3 (舍去)， 所以能够拦截成功拦截时间为2 小时.",K_TRI_008,T_TRI_008,E-MOD-003|E-STR-001,2
Q_TRI_323,01解三角形的入门题型.txt,填空题,. [衡阳八中2024 高三月考]△ABC 中，内角A，B 的对边分别为a，b，则下列能成为“a > b”的充 要条件的有( ) A. sinA > sinB B. cosA < cosB C. cos2A < cos2B D. sin2A > sin2B,,30 + 30 3,由题意可画图，如下，设缉私艇在C 处截住走私船，D 为岛A 正南方向上一点， 设缉私艇的速度为x 海里/ 小时，则BC = 0.5x，AC = 5，∠BAC = 180° -38° -22° = 120°. 由余弦定理可得BC²= AB²+ AC²- 2AB·ACcos120°， 其中AB = 3，所以BC²= 9 + 25 - 2 × 3 × 5 × 1 2 = 49， 所以BC = 0.5x = 7，解得x = 14. 又由正弦定理得sin∠ABC = AC·sin∠BAC BC = 5× 3 2 7 = 5 3 14 ， 因为sin38° ≈5 3 14 ，所以∠ABC = 38°， 又∠BAD = 38°，所以BC ∥AD， 故缉私艇以14 海里/ 小时的速度向正北方向行驶，恰好用0.5 小时截住该走私船．,K_TRI_002|K_TRI_003,T_TRI_001,E-CAL-001|E-CAL-002|E-CON-001|E-FOM-001|E-MOD-001,2
Q_TRI_324,湖南师大附中2022 高一期中,填空题,在△ABC中，角A，B，C的对边分别为a，b，c，已知A=B，且(2√3/3)bcosA=ccosA+acosC，若BC边上的中线长AD=√7，则△ABC的面积为___。,,√3,由射影定理ccosA+acosC=b，代入得(2√3/3)bcosA=b，因为b≠0，所以cosA=√3/2，A=π/6。因为A=B，所以A=B=π/6，C=2π/3。设BC=a，由正弦定理c/sinC=a/sinA，得c=√3a。由中线定理AB²+AC²=(1/2)BC²+2AD²，即3a²+a²=(1/2)a²+14，解得a²=4，a=2。面积S=(1/2)absinC=(1/2)·2·2·sin(2π/3)=√3。,K_TRI_009,T_TRI_009,E-CAL-004|E-STR-002,3
Q_TRI_325,02解三角形中的中线、角平分线、高线问题学生版【2026.4.10】.txt,填空题,在△ABC中，角A，B，C所对的边分别为a，b，c，∠BAC的平分线交BC于点D，且满足BD/CD=3/4，∠BAC=60°，a=7，则c=___。,,21√13/13,由角平分线定理BD/CD=AB/AC=c/b=3/4，所以c=(3/4)b。又a=BC=7，∠BAC=60°。由余弦定理a²=b²+c²-2bccosA，代入得49=b²+(9/16)b²-2·b·(3/4)b·(1/2)=(13/16)b²，解得b²=49·16/13，b=28/√13，c=(3/4)·28/√13=21√13/13。,K_TRI_010,T_TRI_010,E-CAL-005|E-FOM-003|E-STR-003,4
Q_TRI_326,02解三角形中的中线、角平分线、高线问题学生版【2026.4.10】.txt,填空题,在△ABC中，已知BC=15，AB:AC=7:8，sinB=4√3/7，则BC边上的高AD的长为___。,,12√3,设AB=7k，AC=8k。由正弦定理AC/sinB=AB/sinC，得8k/(4√3/7)=7k/sinC，解得sinC=√3/2，C=60°（因B为锐角，取C=60°）。sinA=sin(120°-B)=sin120°cosB-cos120°sinB=(√3/2)(1/7)+(1/2)(4√3/7)=5√3/14。由正弦定理BC/sinA=AB/sinC，得15/(5√3/14)=7k/(√3/2)，解得k=3。AB=21，高AD=AB·sinB=21·4√3/7=12√3。,K_TRI_011,T_TRI_011,E-CAL-005|E-MOD-004,4
Q_TRI_327,02解三角形中的中线、角平分线、高线问题学生版【2026.4.10】.txt,多选题,在△ABC中，内角A，B，C的对边分别为a，b，c，若a=4，BC边上的中线AD=4，则下列说法正确的有（ ）,A.AB·AC=12|B.b²+c²=36|C.3/5≤cosA<1|D.∠BAD的最大值为30°,ACD,由中线定理b²+c²=(1/2)a²+2AD²=8+32=40，故B错误。由余弦定理a²=b²+c²-2bccosA，得16=40-2bccosA，bccosA=12，即AB·AC=12，A正确。由b²+c²≥2bc得bc≤20，cosA=12/(bc)≥3/5，又cosA<1，故C正确。在△ABD中，由余弦定理cos∠BAD=(c²+12)/(8c)≥√3/2，故∠BAD≤30°，D正确。,K_TRI_014,T_TRI_014,E-CAL-010|E-FOM-008|E-MOD-005|E-STR-004|E-STR-008,4
Q_TRI_328,03解三角形中的外接圆、内切圆问题及多三角形问题.txt,解答题,在△ABC 中，内角A，B，C 的对边分别为a，b，c．若△ABC 的面积为S，且a = 1， 4S = b² + c² - 1，则△ABC 外接圆的面积为( ) A. 4π B. 2π C. π D. π/2,,(1) ① 6 + 2 ，②证明见解析，(2) 见解析.,(1) ①因为sinA = a 2R = 1 2 ，角A 为锐角，所以A = 30° 因为∠ABC = 45°，所以C = 105° 由正弦定理得，AB = 2Rsin105° = 4sin75° = 6 + 2 ②证明：因为∠C 是钝角，所以cosC < 0，且cosC ≠-1 所以cosC = a² +b² -c² 2ab < 0，所以a² + b²< c²， 因为∠C 是钝角，所以c 为弦长，2R 为直径长， 则c < 2R，则c2< 4R2，所以a² + b²< 4R² (2) 因为b ≤a，所以B ≤A， 因为 a sinA = b sinB = 2R， 所以： (i) 当a > 2R 或a = b = 2R 时，△ABC 不存在 (ii) 当a=2R b<a 时，A = 90°，△ABC 存在且只有一个，所以c = a² -b² (iii) 当a<2R b=a 时，∠A = ∠B 且都是锐角，sinA = sinB = a 2R 时，△ABC 存在且只有一个 所以c = 2RsinC = a R 4R²-a² (iv) 当b < a < 2R 时，∠B 总是锐角，∠A 可以是钝角，可以是锐角 所以△ABC 存在两个 当∠A < 90° 时，c = a 4R²-b² +b 4R²-a² 2R 当∠A > 90° 时，c = a 4R²-b² -b 4R²-a² 2R,K_TRI_012,T_TRI_012,E-CON-003|E-FOM-004,3
Q_TRI_329,03解三角形中的外接圆、内切圆问题及多三角形问题.txt,填空题,已知等腰三角形的底边长为6，一腰长为12，则它的内切圆面积为_____．,,27π/5,"不妨设a = 6，b = c = 12， 由余弦定理得cosA = b² +c² -a² 2bc = 122+122-62 2×12×12 = 7 8 ， ∴sinA = 1- 7 8 2 = 15 8 ． 由1 2 (a + b + c)r = 1 2 bcsinA，得r = 3 15 5 ． ∴S内= πr²= 27π/5 ． 故答案为：27π/5 ． 2 [长沙雅礼中学2025 高三月考] 记△ABC 的内角A,B,C 的对边分别为a,b,c.",K_TRI_013,T_TRI_013,E-CAL-006|E-CAL-009|E-CON-003|E-FOM-005|E-LOG-007,3
Q_TRI_330,长沙雅礼中学2025 高三月考,解答题,"记△ABC 的内角A,B,C 的对边分别为a,b,c. 已知a - b = 2，sin A-B = sinA+sinB 2 . (1) 求c； (2) 若△ABC 的内切圆在AB 上的切点为D，求AD.",,(1)4；(2)1,"(1) 由sin A-B = sinA+sinB 2 ， 则2sinAcosB - 2cosAsinB = sinA + sinB， 整理得：sinA 2cosB-1 = sinB 1+2cosA ， 则由正余弦定理，角化边可得： a 2× a² +c² -b² 2ac -1 = b 1+2× b² +c² -a² 2bc ， 整理可得：c = 2 a-b ，又a - b = 2，因此可得c = 4. (2) 由(1) 知c = 4,a - b = 2， 设△ABC 的内切圆在AC,BC 上的切点为M,N ， 则AD = AM,BD = BN,CM = CN, 则c = 4 = AB = AD + BD = AM + BN ， a - b = BC - AC = BN+CN - AM+CM = BN - AM = 2， 因此可得AM = 1，即AD = 1. 3 [长沙长郡中学2024 届高三月考] 已知△ABC 的内角A,B,C 的对边分别为a,b,c,",K_TRI_013,T_TRI_013,E-CAL-006|E-CAL-009|E-CON-003|E-FOM-005|E-LOG-007,4
